ID,CEFR,模块,主题,介词/结构,支配格,是否双向介词,核心意义,引申意义,思维模型,常见搭配,A1-A2例句,B1-B2例句,C1例句,中文解释,常见错误,易混介词/结构,记忆提示,标签
1,A1-B2,空间介词,对象思维,zu,Dativ,否,朝人、机构或目标对象移动,前往某项活动或状态,把目的地看成对象，而不是内部空间,zum Arzt; zur Schule; zu Freunden; zu einer Besprechung,Ich gehe zum Arzt.,Ich fahre morgen zu einer Besprechung.,Im Anschluss begab sie sich zu einem vertraulichen Gespräch.,去某人、某机构或某个目标那里,把所有目的地都机械地用 zu,in; nach; auf,对象中心：朝对象去,"空间,对象,方向,Dativ"
2,A1-B2,空间介词,对象思维,bei,Dativ,否,在某人、机构或对象那里,在某公司任职；在某种条件下,以某对象为中心，位置或隶属关系,beim Arzt; bei Freunden; bei Siemens; bei schlechtem Wetter,Ich bin beim Arzt.,Sie arbeitet bei einer internationalen Firma.,Bei näherer Betrachtung erweist sich die Annahme als problematisch.,在某人或机构那里；在……情况下,误解为单纯的‘附近’,zu; neben; in,对象中心：已经在对象那里,"对象,位置,条件,Dativ"
3,A1-B2,空间介词,空间内部,in + Akkusativ,Akkusativ,是,进入有边界的空间,进入某种状态、行业或阶段,跨越边界进入内部,ins Kino; in die Stadt; in den Beruf; in Panik geraten,Ich gehe ins Kino.,Viele Menschen wechseln in einen neuen Beruf.,Die Debatte trat in eine entscheidende Phase ein.,进入空间、状态或阶段,看到 Bewegung 就一律用 Akkusativ,zu; nach; auf,边界被跨越：外面→里面,"空间,方向,Akkusativ,Wechsel"
4,A1-B2,空间介词,空间内部,in + Dativ,Dativ,是,位于有边界的空间内部,处于状态、领域或时期中,已经在边界内部,im Kino; in Berlin; in der Krise; im Bereich,Ich bin im Kino.,Das Unternehmen befindet sich in einer schwierigen Lage.,Im Rahmen der Untersuchung wurden mehrere Faktoren berücksichtigt.,在空间、状态或领域之中,把 Wo? 简化成所有静态地点都用 in,bei; an; auf,边界内部：人在里面,"空间,位置,Dativ,Wechsel"
5,A1,空间介词,城市与无冠词国家,nach,无格变化,否,前往城市、方向或无冠词国家,按照、在……之后,将地点视为地理目的地,nach Berlin; nach Deutschland; nach links; nach dem Essen,Wir fahren nach Berlin.,Nach dem Kurs gehe ich nach Hause.,Nach eingehender Prüfung wurde der Antrag abgelehnt.,去城市、无冠词国家；在……之后,说 nach die Schweiz,in; zu; seit,城市/国家目的地常用 nach,"地点,方向,时间"
6,A1-B1,空间介词,来源,aus,Dativ,否,从内部出来；来自某地或材料,出于原因；由……组成的来源,由内向外，强调内部来源,aus dem Haus; aus China; aus Holz; aus Angst,Ich komme aus China.,Der Tisch besteht aus Holz.,Aus wirtschaftlicher Sicht erscheint die Maßnahme sinnvoll.,从内部、国家或材料中来；出于,把 aus 和 von 随意互换,von; seit,里面出来用 aus,"来源,材料,原因,Dativ"
7,A1-B2,空间介词,来源,von,Dativ,否,从某点、某人或表面离开,所属、作者、原因、被动态施事,从一个外部点或对象出发,vom Bahnhof; von Freunden; von Goethe; abhängig von,Ich komme vom Bahnhof.,Das hängt von der Situation ab.,Die Entscheidung wurde von mehreren Faktoren beeinflusst.,从某点、某人那里；由……,把所有‘从’都翻译成 aus,aus; seit,点/对象来源用 von,"来源,关系,Dativ"
8,A1-B2,空间介词,家庭与固定方向,nach Hause,固定结构,否,回家、去家里,无,Hause 是固定旧式形式,nach Hause; zu Hause,Ich gehe nach Hause.,Nach der Arbeit fahre ich direkt nach Hause.,Nach Abschluss der Sitzung kehrten alle Beteiligten nach Hause zurück.,回家,说 nach dem Hause 表示普通‘回家’,zu Hause; ins Haus,方向 nach Hause，位置 zu Hause,"固定搭配,地点"
9,A2-B2,Wechselpräpositionen,空间关系,an,Akkusativ/Dativ,是,接触、边缘、垂直面,靠近边界或与边界接触,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,an die Wand; an der Wand; am Meer; am Fenster,Ich hänge das Bild an die Wand.,Das Bild hängt an der Wand.,An der Schnittstelle zwischen Politik und Wirtschaft entstehen Konflikte.,到/在边缘、垂直面或接触点,把 an 简单等同于‘旁边’,auf; neben; in,边界/接触面,"空间,接触,Wechsel"
10,A2-B2,Wechselpräpositionen,空间关系,auf,Akkusativ/Dativ,是,水平表面、开放空间,到/在表面、活动场所、平台,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,auf den Tisch; auf dem Tisch; auf den Markt; auf Deutsch,Ich lege das Buch auf den Tisch.,Das Buch liegt auf dem Tisch.,Auf gesellschaftlicher Ebene stellt sich die Frage neu.,到/在表面、平台或层级,把所有‘上’都用 auf,über; an; in,承载表面或层级,"空间,表面,层级,Wechsel"
11,A2-B2,Wechselpräpositionen,空间关系,über,Akkusativ/Dativ,是,在上方、不接触,关于、超过、通过,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,über den Tisch; über dem Tisch; über Politik; über 100 Euro,Die Lampe hängt über dem Tisch.,Wir sprechen über das Problem.,Über die bloße Beschreibung hinaus bedarf es einer Erklärung.,在……上方；关于；超过,混淆 über 和 auf 的接触关系,auf; oberhalb; von,上方但不承载,"空间,主题,程度,Wechsel"
12,A2-B2,Wechselpräpositionen,空间关系,unter,Akkusativ/Dativ,是,在下方,低于、在某条件/压力下,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,unter den Tisch; unter dem Tisch; unter Druck; unter 18,Die Katze sitzt unter dem Tisch.,Viele Menschen leiden unter Stress.,Unter Berücksichtigung aller Umstände ist die Entscheidung nachvollziehbar.,在……下方；处于压力或条件下,与 unten 混用,über; zwischen,下方/从属环境,"空间,条件,Wechsel"
13,A2-B2,Wechselpräpositionen,空间关系,vor,Akkusativ/Dativ,是,在前方,在……之前；因……而产生反应,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,vor das Haus; vor dem Haus; vor drei Tagen; vor Angst,Ich warte vor dem Haus.,Vor drei Tagen begann der Kurs.,Vor dem Hintergrund aktueller Entwicklungen ist eine Neubewertung erforderlich.,在前面；在……之前；由于情绪,把 seit 和 vor 混淆,hinter; seit; nach,前方→时间上的以前,"空间,时间,原因,Wechsel"
14,A2-B2,Wechselpräpositionen,空间关系,hinter,Akkusativ/Dativ,是,在后方,隐藏于背后、支持,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,hinter das Haus; hinter dem Haus; hinter einer Idee stehen,Das Auto steht hinter dem Haus.,Hinter dieser Entscheidung steckt ein klarer Plan.,Hinter der scheinbaren Einigkeit verbergen sich erhebliche Differenzen.,在后面；隐藏在……背后,把 hinten 当介词使用,vor; unter,后方/背后原因,"空间,抽象,Wechsel"
15,A2-B2,Wechselpräpositionen,空间关系,neben,Akkusativ/Dativ,是,在旁边,除……之外,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,neben mich; neben mir; neben der Arbeit,Setz dich neben mich.,Neben der Arbeit lerne ich Deutsch.,Neben ökonomischen Aspekten sind auch soziale Folgen zu berücksichtigen.,在旁边；除……之外,把 bei 当作纯‘旁边’,bei; außer; an,并列相邻,"空间,附加,Wechsel"
16,A2-B2,Wechselpräpositionen,空间关系,zwischen,Akkusativ/Dativ,是,在两者或多者之间,关系、选择、范围,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,zwischen die Stühle; zwischen den Häusern; zwischen A und B,Der Tisch steht zwischen den Stühlen.,Wir müssen zwischen zwei Möglichkeiten wählen.,Zwischen Anspruch und Wirklichkeit besteht eine deutliche Diskrepanz.,在……之间,双数后忘记复数 Dativ -n,unter; bei,两个边界之间,"空间,关系,Wechsel"
17,A2-B2,Wechselpräpositionen,空间关系,in,Akkusativ/Dativ,是,内部,状态、领域、语言形式,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,in die Stadt; in der Stadt; in Gefahr; in deutscher Sprache,Wir gehen in die Stadt.,Sie lebt in einer kleinen Stadt.,In theoretischer Hinsicht ist der Ansatz überzeugend.,进入/位于内部,只根据动静选格，不看是否真的表示方向变化,zu; bei; nach,内部边界,"空间,状态,Wechsel"
18,A1-C1,Dativ介词,固定支配,mit,Dativ,否,共同、工具,方式、特征,介词固定要求 Dativ,mit Freunden; mit dem Zug; mit großer Sorgfalt,Ich fahre mit dem Bus.,Er löste das Problem mit viel Geduld.,Mit Blick auf die Zukunft sind weitere Reformen nötig.,和……一起；用……,说 mit den Bus,ohne; durch,伴随或工具,"Dativ,工具,方式"
19,A1-C1,Dativ介词,固定支配,seit,Dativ,否,从过去延续到现在,从某起点以来,介词固定要求 Dativ,seit Montag; seit drei Jahren,Ich lerne seit einem Jahr Deutsch.,Seit seinem Umzug arbeitet er von zu Hause.,Seit Inkrafttreten der Regelung hat sich die Lage verändert.,自从；持续至今,与 vor 混淆,vor; ab,起点在过去，线延伸到现在,"Dativ,时间"
20,A1-C1,Dativ介词,固定支配,gegenüber,Dativ,否,面对、相对于,对某人/某事的态度,介词固定要求 Dativ,gegenüber dem Bahnhof; ihm gegenüber; gegenüber Kritik,Die Bank liegt dem Bahnhof gegenüber.,Sie ist neuen Ideen gegenüber offen.,Gegenüber früheren Ansätzen weist das Modell klare Vorteile auf.,在……对面；对……而言,忽略后置形式,vor; im Vergleich zu,面对面或比较关系,"Dativ,位置,态度"
21,A1-C1,Dativ介词,固定支配,außer,Dativ,否,除……之外,除非、超出范围,介词固定要求 Dativ,außer mir; außer Betrieb; außer Frage,Außer mir kommt niemand.,Das Gerät ist außer Betrieb.,"Außer Zweifel steht, dass weiterer Handlungsbedarf besteht.",除了；处于……之外,与 neben 含义混淆,neben; bis auf,排除在集合之外,"Dativ,排除"
22,A1-C1,Dativ介词,固定支配,entgegen,Dativ,否,朝相反方向；违背,出乎预期,介词固定要求 Dativ,entgegen dem Rat; allen Erwartungen entgegen,Er handelte entgegen meinem Rat.,Entgegen der Prognose stieg die Nachfrage.,Entgegen verbreiteten Annahmen ist der Zusammenhang nicht eindeutig.,违背；与……相反,误用 gegen + Akk 代替所有情况,gegen; gegenüber,逆着某方向,"Dativ,书面语"
23,A1-C1,Akkusativ介词,固定支配,für,Akkusativ,否,目的、受益者、适用对象,支持、交换、持续时间,介词固定要求 Akkusativ,für dich; für drei Tage; sich für etwas interessieren,Das Geschenk ist für dich.,Ich interessiere mich für deutsche Geschichte.,Für die Bewertung des Ergebnisses sind mehrere Kriterien relevant.,为了；给；对于,说 für dir,zu; wegen; gegen,指向受益或用途,"Akkusativ,目的"
24,A1-C1,Akkusativ介词,固定支配,ohne,Akkusativ,否,缺少、不伴随,无条件地,介词固定要求 Akkusativ,ohne dich; ohne Hilfe; ohne zu zögern,Ich komme ohne Auto.,Ohne deine Hilfe hätte ich es nicht geschafft.,Ohne Berücksichtigung des Kontexts lässt sich die Aussage kaum beurteilen.,没有；不带,说 ohne dir,mit; außer,把某因素拿掉,"Akkusativ,缺失"
25,A1-C1,Akkusativ介词,固定支配,gegen,Akkusativ,否,朝向、反对、大约,交换、预防、对抗,介词固定要求 Akkusativ,gegen die Wand; gegen den Plan; gegen 8 Uhr; Medikament gegen Schmerzen,Der Ball fliegt gegen die Wand.,Viele Bürger protestieren gegen die Entscheidung.,Gegen diese Interpretation lassen sich mehrere Einwände vorbringen.,朝；反对；大约；针对,与 gegenüber 混淆,gegenüber; für; um,对抗或朝向一个目标,"Akkusativ,反对,时间"
26,A1-C1,Akkusativ介词,固定支配,durch,Akkusativ,否,穿过、通过,由于、借助,介词固定要求 Akkusativ,durch den Park; durch Arbeit; durch einen Fehler,Wir gehen durch den Park.,Durch regelmäßiges Üben verbessert man sich.,Durch die Verknüpfung beider Ansätze entsteht ein differenzierteres Bild.,穿过；通过；由于,工具一律用 mit,mit; wegen; über,从内部通道穿过,"Akkusativ,路径,原因"
27,A1-C1,Akkusativ介词,固定支配,um,Akkusativ,否,围绕、环绕,具体时间、目的、数值差,介词固定要求 Akkusativ,um den Tisch; um 8 Uhr; um Hilfe bitten; um 5 Prozent steigen,Wir sitzen um den Tisch.,Ich bitte Sie um eine Antwort.,"Um die Aussage angemessen einzuordnen, ist der Kontext zu berücksichtigen.",围绕；在几点；为了,与 gegen 的大约时间混淆,gegen; für; über,围成一圈或围绕核心,"Akkusativ,时间,目的"
28,A1-C1,Akkusativ介词,固定支配,bis,Akkusativ,否,直到终点,范围上限,介词固定要求 Akkusativ,bis Freitag; bis Berlin; bis zu 100 Euro,Ich bleibe bis Freitag.,Der Kurs dauert bis Ende Juli.,Bis zu einem gewissen Grad ist diese Kritik berechtigt.,直到；截至,在有冠词名词前漏掉 zu,ab; seit; bis zu,只标终点,"Akkusativ,时间,范围"
29,B1-C1,Genitiv介词,正式与抽象关系,wegen,Genitiv,否,原因,口语中有时接 Dativ,书面语中常通过 Genitiv 压缩关系,wegen des Wetters; wegen eines Fehlers,Wegen des Regens bleiben wir zu Hause.,Die Sitzung wurde wegen technischer Probleme verschoben.,Wegen der zunehmenden Komplexität ist eine differenzierte Analyse erforderlich.,因为；由于,正式写作中随意用 Dativ,aufgrund; durch; vor,原因位于名词之后,"Genitiv,原因"
30,B1-C1,Genitiv介词,正式与抽象关系,trotz,Genitiv,否,让步、反预期,尽管存在障碍,书面语中常通过 Genitiv 压缩关系,trotz des Regens; trotz aller Kritik,Trotz des Regens gehen wir spazieren.,Trotz großer Schwierigkeiten wurde das Projekt abgeschlossen.,Trotz berechtigter Einwände bleibt der Ansatz grundsätzlich überzeugend.,尽管,把 trotz 写成 obwohl 后仍接名词结构,obwohl; ungeachtet,障碍存在，但结果仍发生,"Genitiv,让步"
31,B1-C1,Genitiv介词,正式与抽象关系,während,Genitiv,否,在某段期间,对比：而,书面语中常通过 Genitiv 压缩关系,während des Kurses; während der Sitzung,Während des Kurses sprechen wir Deutsch.,"Während der eine zustimmt, lehnt der andere ab.","Während kurzfristig Vorteile entstehen, sind langfristig Risiken zu erwarten.",在……期间；而,与 als/wenn 的从句结构混淆,bei; solange; währenddessen,两个过程同时展开,"Genitiv,时间,对比"
32,B1-C1,Genitiv介词,正式与抽象关系,innerhalb,Genitiv,否,在范围或期限之内,组织内部,书面语中常通过 Genitiv 压缩关系,innerhalb einer Woche; innerhalb des Systems,Bitte antworten Sie innerhalb einer Woche.,Innerhalb des Teams gibt es unterschiedliche Meinungen.,Innerhalb des theoretischen Rahmens ist die Annahme konsistent.,在……之内,与 in 简单互换,in; binnen; außerhalb,边界内部，强调范围限制,"Genitiv,范围"
33,B1-C1,Genitiv介词,正式与抽象关系,außerhalb,Genitiv,否,在范围之外,超出制度或讨论范围,书面语中常通过 Genitiv 压缩关系,außerhalb der Stadt; außerhalb der Arbeitszeit,Er wohnt außerhalb der Stadt.,Außerhalb der Öffnungszeiten ist niemand erreichbar.,Außerhalb dieses Bezugsrahmens verliert die Aussage an Gültigkeit.,在……之外,与 außer 混淆,außer; jenseits; innerhalb,边界之外,"Genitiv,范围"
34,B1-C1,Genitiv介词,正式与抽象关系,statt/anstatt,Genitiv,否,替代,而不是,书面语中常通过 Genitiv 压缩关系,statt des Autos; anstatt einer Antwort,Statt des Busses nehme ich den Zug.,Anstatt einer Lösung entstanden neue Probleme.,Statt einer pauschalen Bewertung ist eine differenzierte Betrachtung erforderlich.,代替；而不是,把 statt 和 außer 混淆,anstelle von; außer,用 B 替换 A,"Genitiv,替代"
35,B1-C1,Genitiv介词,正式与抽象关系,aufgrund,Genitiv,否,基于某原因,正式论证原因,书面语中常通过 Genitiv 压缩关系,aufgrund der Daten; aufgrund eines Fehlers,Aufgrund des Wetters fällt das Spiel aus.,Aufgrund neuer Informationen wurde der Plan geändert.,Aufgrund der vorliegenden Befunde lässt sich diese These nicht aufrechterhalten.,由于；基于,与 dank 的正面含义混淆,wegen; dank; infolge,正式原因链,"Genitiv,C1,书面语"
36,B1-C1,Genitiv介词,正式与抽象关系,infolge,Genitiv,否,作为结果,强调后果链,书面语中常通过 Genitiv 压缩关系,infolge des Unfalls; infolge der Krise,Infolge des Sturms fiel der Strom aus.,Infolge der Reform änderten sich die Abläufe.,Infolge struktureller Veränderungen verschärfte sich der Wettbewerb.,由于……的结果,把它当普通中性原因而忽略结果色彩,aufgrund; wegen; infolgedessen,原因→后果,"Genitiv,C1,结果"
37,B1-C1,Genitiv介词,正式与抽象关系,angesichts,Genitiv,否,面对、鉴于,在某形势面前,书面语中常通过 Genitiv 压缩关系,angesichts der Lage; angesichts steigender Kosten,Angesichts des Wetters bleiben wir zu Hause.,Angesichts der hohen Kosten wurde das Projekt verkleinert.,Angesichts der widersprüchlichen Befunde ist Zurückhaltung geboten.,鉴于；面对,与 gegenüber 混用,aufgrund; vor; in Anbetracht,面对现实情形作判断,"Genitiv,C1,评价"
38,B1-C1,Genitiv介词,正式与抽象关系,hinsichtlich,Genitiv,否,关于某方面,限定讨论维度,书面语中常通过 Genitiv 压缩关系,hinsichtlich der Kosten; hinsichtlich seiner Wirkung,Hinsichtlich des Termins gibt es noch Fragen.,Hinsichtlich der Qualität bestehen Zweifel.,Hinsichtlich der methodischen Belastbarkeit bleiben erhebliche Vorbehalte.,关于；就……而言,与 über 的口语主题用法混淆,bezüglich; im Hinblick auf; über,锁定分析维度,"Genitiv,C1,书面语"
39,B1-C1,Genitiv介词,正式与抽象关系,ungeachtet,Genitiv,否,不顾、尽管,正式让步,书面语中常通过 Genitiv 压缩关系,ungeachtet der Kritik; ungeachtet dessen,Ungeachtet des Regens gingen sie weiter.,Ungeachtet aller Warnungen setzte er den Plan um.,Ungeachtet methodischer Schwächen liefert die Studie wichtige Impulse.,不顾；尽管,与 trotz 混淆但忽视正式程度,trotz; unabhängig von,障碍被忽略,"Genitiv,C1,让步"
40,A1-C1,时间介词,时间轴,am,视结构而定,部分,日期、星期、一天中的部分,固定时间点,时间点、区间、起点、终点或变化轴,am Montag; am 3. Mai; am Morgen,Am Montag habe ich Deutschkurs.,Am Ende des Monats findet die Prüfung statt.,Am Beispiel dieser Entwicklung lässt sich der Wandel deutlich erkennen.,在周几、日期、早晨等,说 im Montag,im; um; an,一天/日期作为接触点,"Dativ,时间"
41,A1-C1,时间介词,时间轴,im,视结构而定,部分,月份、季节、年份、时期,处于某历史或发展阶段,时间点、区间、起点、终点或变化轴,im Juli; im Sommer; im Jahr 2026,Im Sommer fahre ich ans Meer.,Im vergangenen Jahr ist die Nachfrage gestiegen.,Im Zuge der Digitalisierung verändern sich etablierte Strukturen.,在月份、季节、年份中,说 am Juli,am; während; innerhalb,把较大时间段看成容器,"Dativ,时间"
42,A1-C1,时间介词,时间轴,um,视结构而定,部分,精确钟点,目的结构 um ... zu,时间点、区间、起点、终点或变化轴,um 8 Uhr; um Mitternacht; um zu lernen,Der Kurs beginnt um acht Uhr.,"Ich lerne viel, um die Prüfung zu bestehen.","Um langfristige Stabilität zu gewährleisten, sind Reformen notwendig.",在具体几点；为了,把大约八点说成 um 8 Uhr,gegen; am; für,精确时间点/围绕目标,"Akkusativ,时间,目的"
43,A1-C1,时间介词,时间轴,ab,视结构而定,部分,从未来或规定起点开始,起效,时间点、区间、起点、终点或变化轴,ab Montag; ab sofort; ab 18 Jahren,Ab Montag arbeite ich wieder.,Die neue Regel gilt ab dem nächsten Monat.,Ab einem bestimmten Komplexitätsgrad stößt das Modell an Grenzen.,从……开始,用 seit 表示未来起点,seit; von; bis,只标起点，不强调持续到现在,"Dativ,时间,起点"
44,A1-C1,时间介词,时间轴,von ... bis ...,视结构而定,部分,起点到终点的范围,时间、地点、等级覆盖范围,时间点、区间、起点、终点或变化轴,von Montag bis Freitag; von A bis Z,Ich arbeite von Montag bis Freitag.,Der Kurs deckt die Stufen B1 bis B2 ab.,Die Entwicklung reicht von punktuellen Anpassungen bis hin zu strukturellen Reformen.,从……到……的范围,用它表达等级提升变化,von ... auf ...; ab ... bis ...,画出一个封闭区间,"范围,时间"
