ID,CEFR,模块,主题,介词/结构,支配格,是否双向介词,核心意义,引申意义,思维模型,常见搭配,A1-A2例句,B1-B2例句,C1例句,中文解释,常见错误,易混介词/结构,记忆提示,标签
45,A1-C1,时间介词,时间轴,von ... auf ...,视结构而定,部分,数值、水平或状态变化,突变、升级、转换,时间点、区间、起点、终点或变化轴,von B1 auf B2; von 10 auf 20 Prozent,Ich möchte mich von B1 auf B2 verbessern.,Die Preise stiegen von 100 auf 120 Euro.,Der Fokus verlagerte sich von kurzfristiger Effizienz auf langfristige Resilienz.,从一个数值/层级变到另一个,用 von ... bis ... 表示变化,von ... bis ...; zu,旧状态→新状态,"变化,等级,Akkusativ"
46,A1-C1,时间介词,时间轴,vor,视结构而定,部分,现在以前的时间距离,情绪原因,时间点、区间、起点、终点或变化轴,vor drei Tagen; vor einem Jahr; vor Angst,Ich war vor zwei Tagen dort.,Vor Beginn der Sitzung wurden die Unterlagen verteilt.,Vor dem Hintergrund langfristiger Trends ist das Ergebnis wenig überraschend.,……之前；……以前,与 seit 混淆,seit; nach; bevor,过去某一点，不延续到现在,"Dativ,时间"
47,A1-C1,时间介词,时间轴,nach,视结构而定,部分,在某事件之后,依照、按照,时间点、区间、起点、终点或变化轴,nach dem Kurs; nach Plan; meiner Meinung nach,Nach dem Essen gehe ich spazieren.,Nach Abschluss der Prüfung erhalten Sie das Ergebnis.,Nach heutigem Kenntnisstand ist keine eindeutige Aussage möglich.,在……之后；按照,把 nach 和 nachdem 结构混用,vor; seit; gemäß,后续顺序,"Dativ,时间,标准"
48,B1-C1,动词+介词,固定搭配,warten auf,Akkusativ,否,等待目标,抽象关系由动词固定支配,主要按搭配整体记忆,warten auf,Ich warte auf den Bus.,Wir warten noch auf eine Entscheidung.,Die Öffentlichkeit wartet auf eine überzeugende Erklärung.,等待……,warten für,erwarten; warten an,注意力朝未来目标,"动词搭配,B2"
49,B1-C1,动词+介词,固定搭配,denken an,Akkusativ,否,想到、惦记,抽象关系由动词固定支配,主要按搭配整体记忆,denken an,Ich denke an dich.,Denk bitte an den Termin.,Bei der Planung ist an mögliche Nebenwirkungen zu denken.,想到……,denken über 在所有情境替代 an,über etwas nachdenken; sich erinnern an,意识指向对象,"动词搭配,B2"
50,B1-C1,动词+介词,固定搭配,über etwas nachdenken,Akkusativ,否,深入思考某主题,抽象关系由动词固定支配,主要按搭配整体记忆,über etwas nachdenken,Ich denke über das Problem nach.,Wir müssen über eine andere Lösung nachdenken.,Über die langfristigen Folgen wurde bislang kaum nachgedacht.,思考、斟酌某事,与 denken an 混淆,denken an; überlegen,主题在思考范围内,"动词搭配,B2"
51,B1-C1,动词+介词,固定搭配,sprechen über,Akkusativ,否,谈论主题,抽象关系由动词固定支配,主要按搭配整体记忆,sprechen über,Wir sprechen über den Kurs.,Sie sprachen über mögliche Lösungen.,Über die methodischen Grenzen wird in der Studie nur am Rande gesprochen.,谈论……,sprechen von 和 über 不分,sprechen von; mit,主题内容,"动词搭配,B2"
52,B1-C1,动词+介词,固定搭配,sprechen mit,Dativ,否,与某人交谈,抽象关系由动词固定支配,主要按搭配整体记忆,sprechen mit,Ich spreche mit meiner Lehrerin.,Ich muss mit der Leitung sprechen.,Mit den beteiligten Akteuren wurde ausführlich gesprochen.,与……交谈,用 zu 表示交谈对象,sprechen zu; reden mit,对话伙伴,"动词搭配,A2"
53,B1-C1,动词+介词,固定搭配,sich interessieren für,Akkusativ,否,对……感兴趣,抽象关系由动词固定支配,主要按搭配整体记忆,sich interessieren für,Ich interessiere mich für Deutsch.,Viele Menschen interessieren sich für Politik.,Die Forschung interessiert sich zunehmend für hybride Arbeitsmodelle.,对……感兴趣,interessieren an,Interesse an; begeistert von,兴趣指向对象,"动词搭配,B1"
54,B1-C1,动词+介词,固定搭配,teilnehmen an,Dativ,否,参加活动,抽象关系由动词固定支配,主要按搭配整体记忆,teilnehmen an,Ich nehme am Kurs teil.,Sie nimmt an einer Fortbildung teil.,An der Untersuchung nahmen mehr als tausend Personen teil.,参加……,teilnehmen bei,mitmachen bei; sich beteiligen an,成为活动的一部分,"动词搭配,B1"
55,B1-C1,动词+介词,固定搭配,abhängen von,Dativ,否,依赖,抽象关系由动词固定支配,主要按搭配整体记忆,abhängen von,Das hängt vom Wetter ab.,Der Erfolg hängt von guter Planung ab.,Die Aussagekraft hängt wesentlich von der Datenqualität ab.,取决于……,abhängen an,abhängig von; beruhen auf,结果被来源控制,"动词搭配,B1"
56,B1-C1,动词+介词,固定搭配,bestehen aus,Dativ,否,由……组成,抽象关系由动词固定支配,主要按搭配整体记忆,bestehen aus,Der Kurs besteht aus drei Teilen.,Das Team besteht aus zehn Personen.,Das Modell besteht aus mehreren miteinander verknüpften Komponenten.,由……构成,bestehen von,sich zusammensetzen aus,内部成分来源,"动词搭配,B1"
57,B1-C1,动词+介词,固定搭配,bestehen auf,Dativ,否,坚持要求,抽象关系由动词固定支配,主要按搭配整体记忆,bestehen auf,Er besteht auf einer Antwort.,Sie bestand auf einer schriftlichen Bestätigung.,Die Kommission bestand auf der Einhaltung transparenter Verfahren.,坚持……,与 bestehen aus 混淆,beharren auf; fordern,站在一个要求上不退,"动词搭配,B2"
58,B1-C1,动词+介词,固定搭配,sich freuen auf,Akkusativ,否,期待未来事件,抽象关系由动词固定支配,主要按搭配整体记忆,sich freuen auf,Ich freue mich auf den Urlaub.,Wir freuen uns auf die Zusammenarbeit.,Die Beteiligten blicken erwartungsvoll auf die nächste Phase und freuen sich auf neue Impulse.,期待……,与 sich freuen über 混淆,sich freuen über,情绪朝未来目标,"动词搭配,B1"
59,B1-C1,动词+介词,固定搭配,sich freuen über,Akkusativ,否,为已发生或现有事物高兴,抽象关系由动词固定支配,主要按搭配整体记忆,sich freuen über,Ich freue mich über das Geschenk.,Wir freuen uns über Ihre Nachricht.,Über die positive Resonanz zeigte sich das Team erfreut.,为……感到高兴,未来事件仍用 über,sich freuen auf,情绪回应现有事实,"动词搭配,B1"
60,B1-C1,动词+介词,固定搭配,leiden an,Dativ,否,患某种疾病,抽象关系由动词固定支配,主要按搭配整体记忆,leiden an,Er leidet an Asthma.,Viele Menschen leiden an chronischen Schmerzen.,Die Organisation leidet an einem strukturellen Mangel an Fachkräften.,患有；内在缺陷,与 leiden unter 混淆,leiden unter,问题被看成内在病症,"动词搭配,B2"
61,B1-C1,动词+介词,固定搭配,leiden unter,Dativ,否,受外部负担或条件折磨,抽象关系由动词固定支配,主要按搭配整体记忆,leiden unter,Sie leidet unter dem Lärm.,Viele Beschäftigte leiden unter Zeitdruck.,Unter der anhaltenden Unsicherheit leidet insbesondere die Investitionsbereitschaft.,受……困扰,疾病都用 unter,leiden an,压力从外部压下,"动词搭配,B2"
62,B1-C1,动词+介词,固定搭配,sich bewerben um,Akkusativ,否,申请职位、奖项,抽象关系由动词固定支配,主要按搭配整体记忆,sich bewerben um,Ich bewerbe mich um die Stelle.,Sie bewirbt sich um ein Stipendium.,Mehrere Einrichtungen bewarben sich um die verfügbaren Fördermittel.,申请……,sich bewerben für,sich bewerben bei; Bewerbung um,围绕稀缺目标竞争,"动词搭配,B1"
63,B1-C1,动词+介词,固定搭配,sich bewerben bei,Dativ,否,向某机构申请,抽象关系由动词固定支配,主要按搭配整体记忆,sich bewerben bei,Ich bewerbe mich bei Siemens.,Sie bewirbt sich bei einer Universität.,Die Organisation bewarb sich bei der zuständigen Behörde um eine Förderung.,向……申请,与 um 的申请内容混淆,sich bewerben um,bei=申请对象机构,"动词搭配,B1"
64,B1-C1,动词+介词,固定搭配,bitten um,Akkusativ,否,请求某物或行动,抽象关系由动词固定支配,主要按搭配整体记忆,bitten um,Ich bitte um Hilfe.,Wir bitten um eine schnelle Antwort.,Die Verfasser bitten um eine differenzierte Bewertung der Ergebnisse.,请求……,bitten für,jemanden um etwas bitten,围绕请求内容,"动词搭配,B1"
65,B1-C1,动词+介词,固定搭配,gehören zu,Dativ,否,属于某类或整体,抽象关系由动词固定支配,主要按搭配整体记忆,gehören zu,Das gehört zu meinem Alltag.,Diese Aufgabe gehört zum Kurs.,Zu den zentralen Herausforderungen gehört die Sicherung langfristiger Finanzierung.,属于……,gehören in 在所有情况替代 zu,Teil von; zählen zu,移动到分类对象中,"动词搭配,B1"
66,B1-C1,动词+介词,固定搭配,führen zu,Dativ,否,导致结果,抽象关系由动词固定支配,主要按搭配整体记忆,führen zu,Das führt zu Problemen.,Die Änderung führte zu höheren Kosten.,Die Kumulation kleiner Verzögerungen führte zu erheblichen Folgewirkungen.,导致……,führen für,verursachen; resultieren in,过程朝结果对象发展,"动词搭配,B2"
67,B1-C1,动词+介词,固定搭配,beitragen zu,Dativ,否,有助于,抽象关系由动词固定支配,主要按搭配整体记忆,beitragen zu,Sport trägt zur Gesundheit bei.,Die Maßnahme trägt zur Verbesserung bei.,Die Ergebnisse tragen zu einem differenzierteren Verständnis des Phänomens bei.,有助于……,beitragen für,helfen bei; Beitrag zu,贡献流向结果,"动词搭配,B2"
68,B1-C1,动词+介词,固定搭配,reagieren auf,Akkusativ,否,对刺激作出反应,抽象关系由动词固定支配,主要按搭配整体记忆,reagieren auf,Er reagiert auf die Nachricht.,Das Unternehmen reagierte schnell auf die Kritik.,Auf veränderte Rahmenbedingungen muss flexibel reagiert werden.,对……反应,reagieren an,antworten auf; reagieren gegenüber,刺激朝主体而来，反应朝刺激,"动词搭配,B2"
69,B1-C1,动词+介词,固定搭配,verfügen über,Akkusativ,否,拥有、具备,抽象关系由动词固定支配,主要按搭配整体记忆,verfügen über,Die Wohnung verfügt über einen Balkon.,Das Team verfügt über viel Erfahrung.,Die Institution verfügt über umfangreiche Ressourcen und Expertise.,拥有……,verfügen von,haben; ausgestattet sein mit,资源位于掌控范围上方,"动词搭配,B2"
70,B1-C1,动词+介词,固定搭配,sich konzentrieren auf,Akkusativ,否,集中于,抽象关系由动词固定支配,主要按搭配整体记忆,sich konzentrieren auf,Ich konzentriere mich auf die Prüfung.,Wir konzentrieren uns auf die wichtigsten Punkte.,Die Analyse konzentriert sich auf strukturelle Ursachen.,专注于……,konzentrieren an,Fokus auf; sich befassen mit,注意力落到一个表面目标,"动词搭配,B2"
71,B1-C1,动词+介词,固定搭配,sich beschäftigen mit,Dativ,否,研究、处理,抽象关系由动词固定支配,主要按搭配整体记忆,sich beschäftigen mit,Ich beschäftige mich mit Grammatik.,Der Bericht beschäftigt sich mit dem Thema Migration.,Die Untersuchung beschäftigt sich mit den langfristigen Folgen institutioneller Veränderungen.,研究、处理……,beschäftigen über,sich befassen mit; handeln von,与主题一起工作,"动词搭配,B2"
72,B1-C1,名词/形容词+介词,固定搭配,Interesse an,Dativ,否,对……的兴趣,名词或形容词固定支配介词,词组整体记忆,Interesse an,Ich habe Interesse an Musik.,Das Interesse an digitalen Lernformen wächst.,Das wissenschaftliche Interesse an hybriden Organisationsformen hat deutlich zugenommen.,对……的兴趣,Interesse für 在所有语境替代 an,sich interessieren für,名词形式改变介词,"名词搭配,B2"
73,B1-C1,名词/形容词+介词,固定搭配,Angst vor,Dativ,否,害怕……,名词或形容词固定支配介词,词组整体记忆,Angst vor,Ich habe Angst vor Hunden.,Viele Menschen haben Angst vor Veränderungen.,Die Angst vor Kontrollverlust prägt einen Teil der Debatte.,害怕……,Angst von,sich fürchten vor,威胁位于面前,"名词搭配,B1"
74,B1-C1,名词/形容词+介词,固定搭配,Lust auf,Akkusativ,否,想要、兴致,名词或形容词固定支配介词,词组整体记忆,Lust auf,Ich habe Lust auf Pizza.,Hast du Lust auf einen Spaziergang?,Die Organisation zeigt wenig Lust auf grundlegende Reformen.,想要……,Lust für,Appetit auf; Interesse an,欲望朝目标,"名词搭配,B1"
75,B1-C1,名词/形容词+介词,固定搭配,verantwortlich für,Akkusativ,否,对……负责,名词或形容词固定支配介词,词组整体记忆,verantwortlich für,Er ist für das Projekt verantwortlich.,Wer ist für die Organisation verantwortlich?,Für die Umsetzung der Maßnahmen ist die Leitung verantwortlich.,对……负责,verantwortlich von,zuständig für,责任指向任务,"形容词搭配,B1"
76,B1-C1,名词/形容词+介词,固定搭配,abhängig von,Dativ,否,依赖于,名词或形容词固定支配介词,词组整体记忆,abhängig von,Wir sind vom Wetter abhängig.,Der Erfolg ist von mehreren Faktoren abhängig.,Die Stabilität des Systems ist von verlässlichen Institutionen abhängig.,依赖于……,abhängig an,unabhängig von; abhängen von,被来源条件牵制,"形容词搭配,B1"
77,B1-C1,名词/形容词+介词,固定搭配,stolz auf,Akkusativ,否,为……骄傲,名词或形容词固定支配介词,词组整体记忆,stolz auf,Ich bin stolz auf dich.,Sie ist stolz auf ihre Fortschritte.,Die Institution ist stolz auf ihre langjährige Forschungstradition.,为……骄傲,stolz über,zufrieden mit,成就被放在展示表面,"形容词搭配,B1"
78,B1-C1,名词/形容词+介词,固定搭配,bekannt für,Akkusativ,否,因……闻名,名词或形容词固定支配介词,词组整体记忆,bekannt für,Berlin ist für seine Museen bekannt.,Die Region ist für ihre Industrie bekannt.,Der Ansatz ist für seine methodische Klarheit bekannt.,因……著名,bekannt mit,berühmt für; bekannt als,特征指向评价对象,"形容词搭配,B1"
79,B1-C1,名词/形容词+介词,固定搭配,zufrieden mit,Dativ,否,对……满意,名词或形容词固定支配介词,词组整体记忆,zufrieden mit,Ich bin mit dem Ergebnis zufrieden.,Die Kunden sind mit dem Service zufrieden.,Mit der empirischen Grundlage der Studie kann man nur teilweise zufrieden sein.,对……满意,zufrieden über,einverstanden mit; stolz auf,与结果相处良好,"形容词搭配,B1"
80,B1-C1,名词/形容词+介词,固定搭配,geeignet für,Akkusativ,否,适合……,名词或形容词固定支配介词,词组整体记忆,geeignet für,Das Buch ist für Anfänger geeignet.,Die Methode ist für kleine Gruppen geeignet.,Der Ansatz ist nur bedingt für komplexe dynamische Systeme geeignet.,适合……,geeignet zu + 名词,sich eignen für; passend für,用途指向对象,"形容词搭配,B2"
81,B1-C1,名词/形容词+介词,固定搭配,reich an,Dativ,否,富含……,名词或形容词固定支配介词,词组整体记忆,reich an,Das Essen ist reich an Vitaminen.,Die Region ist reich an natürlichen Ressourcen.,Der Text ist reich an impliziten kulturellen Verweisen.,富含……,reich von,arm an; voll von,内容附着在整体上,"形容词搭配,B2"
82,B1-C1,名词/形容词+介词,固定搭配,Mangel an,Dativ,否,缺乏……,名词或形容词固定支配介词,词组整体记忆,Mangel an,Es gibt einen Mangel an Personal.,Der Mangel an Zeit erschwert die Planung.,Ein struktureller Mangel an Transparenz schwächt das Vertrauen.,缺少……,Mangel von,Fehlen von; arm an,缺口针对某成分,"名词搭配,B2"
83,B1-C1,名词/形容词+介词,固定搭配,Grund für,Akkusativ,否,……的原因,名词或形容词固定支配介词,词组整体记忆,Grund für,Was ist der Grund für die Verspätung?,Es gibt mehrere Gründe für diese Entwicklung.,Ein wesentlicher Grund für die Diskrepanz liegt in der Datenlage.,……的原因,Grund von,Ursache für; aufgrund,原因解释一个结果,"名词搭配,B1"
84,C1,高级书面表达,介词化结构,im Hinblick auf,Akkusativ,否,就……而言；着眼于,正式、抽象、名词化表达,压缩从句并明确逻辑关系,im Hinblick auf die Zukunft,Im Hinblick auf die Prüfung habe ich noch Fragen.,Im Hinblick auf die Kosten ist der Plan problematisch.,Im Hinblick auf langfristige gesellschaftliche Folgen bedarf die Maßnahme einer Neubewertung.,就……而言；考虑到,拆开逐词直译,hinsichtlich; bezüglich,把视线投向分析维度,"C1,书面语"
85,C1,高级书面表达,介词化结构,im Rahmen von,Dativ,否,在……框架内,正式、抽象、名词化表达,压缩从句并明确逻辑关系,im Rahmen des Projekts / im Rahmen von Projekten,Im Rahmen des Kurses schreiben wir einen Test.,Im Rahmen des Projekts wurden Daten gesammelt.,Im Rahmen einer umfassenderen Strategie ist die Maßnahme durchaus plausibel.,在……框架内,格和冠词混乱,innerhalb; während,活动由框架包围,"C1,书面语"
86,C1,高级书面表达,介词化结构,im Gegensatz zu,Dativ,否,与……相反,正式、抽象、名词化表达,压缩从句并明确逻辑关系,im Gegensatz zu früher,Im Gegensatz zu mir fährt er gern Auto.,Im Gegensatz zur ersten Studie sind die Ergebnisse eindeutig.,Im Gegensatz zu linearen Modellen berücksichtigt dieser Ansatz Rückkopplungseffekte.,与……相反,用 gegen 替代,anders als; entgegen,两个对象正面对比,"C1,对比"
87,C1,高级书面表达,介词化结构,in Bezug auf,Akkusativ,否,关于；涉及,正式、抽象、名词化表达,压缩从句并明确逻辑关系,in Bezug auf die Kosten,In Bezug auf den Termin habe ich eine Frage.,In Bezug auf die Umsetzung bestehen noch Probleme.,In Bezug auf die methodische Validität sind erhebliche Einschränkungen festzustellen.,关于；就……而言,与 bezüglich 语域混乱,bezüglich; hinsichtlich; in puncto,建立一个参照关系,"C1,书面语"
88,C1,高级书面表达,介词化结构,unter Berücksichtigung,Genitiv,否,在考虑……的情况下,正式、抽象、名词化表达,压缩从句并明确逻辑关系,unter Berücksichtigung aller Faktoren,Unter Berücksichtigung des Wetters ändern wir den Plan.,Unter Berücksichtigung der Kosten ist die Lösung sinnvoll.,Unter Berücksichtigung konkurrierender Erklärungsansätze erscheint die Schlussfolgerung weniger eindeutig.,考虑到……,忘记名词化和 Genitiv,angesichts; in Anbetracht,把因素纳入分析下方,"C1,名词化"
89,C1,高级书面表达,介词化结构,in Anbetracht,Genitiv,否,鉴于、考虑到,正式、抽象、名词化表达,压缩从句并明确逻辑关系,in Anbetracht der Lage,In Anbetracht des Wetters bleiben wir zu Hause.,In Anbetracht der Kosten wurde der Plan geändert.,In Anbetracht der begrenzten Datenbasis ist eine vorsichtige Interpretation geboten.,鉴于,与 angesichts 完全等同而忽略语体,angesichts; aufgrund,把现实摆在眼前看,"C1,书面语"
90,C1,高级书面表达,介词化结构,im Zuge,Genitiv,否,在……过程中；随着,正式、抽象、名词化表达,压缩从句并明确逻辑关系,im Zuge der Reform,Im Zuge des Umzugs haben wir viel weggeworfen.,Im Zuge der Digitalisierung wurden Prozesse verändert.,Im Zuge tiefgreifender Transformationsprozesse verschieben sich institutionelle Machtverhältnisse.,在……过程中；随着,与 während 的单纯时间并列混淆,während; infolge,随着过程推进,"C1,书面语"
91,C1,高级书面表达,介词化结构,mithilfe,Genitiv / von + Dat,否,借助,正式、抽象、名词化表达,压缩从句并明确逻辑关系,mithilfe moderner Technik,Mithilfe einer App lerne ich Wörter.,Mithilfe neuer Software wurde der Prozess beschleunigt.,Mithilfe triangulierter Datensätze lässt sich die Validität der Befunde erhöhen.,借助……,所有工具都机械用 mit,mit; durch; anhand,工具被名词化压缩,"C1,书面语"
92,C1,高级书面表达,介词化结构,anhand,Genitiv,否,依据例子、材料或证据,正式、抽象、名词化表达,压缩从句并明确逻辑关系,anhand eines Beispiels,Ich erkläre das anhand eines Beispiels.,Anhand der Daten lässt sich der Trend erkennen.,Anhand longitudinaler Vergleichsdaten kann die Entwicklung präziser rekonstruiert werden.,根据；借助……来说明,与 aufgrund 的原因混淆,mithilfe; aufgrund; am Beispiel von,拿证据在手边判断,"C1,证据"
93,C1,高级书面表达,介词化结构,jenseits,Genitiv,否,超越、在……之外,正式、抽象、名词化表达,压缩从句并明确逻辑关系,jenseits der Grenze; jenseits einfacher Erklärungen,Das Dorf liegt jenseits des Flusses.,Die Diskussion geht jenseits persönlicher Interessen.,Jenseits normativer Zuschreibungen bedarf es einer empirisch fundierten Analyse.,在……之外；超越,与 außerhalb 只按地点理解,außerhalb; über ... hinaus,跨过边界到另一侧,"C1,抽象"
